url,impr,impr_prev,pos,pos_prev,clics,clics_prev
/product/retatrutida-30mg/,1002,74,36.612774451097806,24.10810810810811,6,0
/retatrutide-precio-guia-completa-costos-beneficios/,927,28,27.509169363538295,20.285714285714285,6,1
/,582,127,48.45360824742268,29.944881889763778,20,3
/product/comprar-retatrutida-30mg/,407,0,49.402948402948404,,5,0
/product/tirzepatida/,325,0,24.41846153846154,,2,0
/product/semaglutida-5-mg/,318,2,40.84905660377358,7,4,0
/product/mots-c-40mg/,300,37,58.053333333333335,73.67567567567568,3,1
/productos/,289,104,64.49480968858131,34.18269230769231,2,4
/product/tirzepatida-30-mg/,265,3,13.532075471698112,2.333333333333333,3,0
/product/tirzepatida-60-mg/,191,6,10.345549738219896,12.666666666666666,0,1
/productos/page/2/,182,0,70.16483516483517,,0,0
/product/igf-1-lr3-1mg/,154,13,22.74025974025974,27.384615384615383,9,1
/product/agua-bacteriostatica-3ml/,132,0,45.666666666666664,,4,0
/comprar-peptidos-en-mexico/page/2/,125,0,80.368,,0,0
/peptidos-en-mexico/,90,25,73.13333333333334,67.28,2,0
/peptidos-mexico/,88,0,80.05681818181819,,0,0
/product/selank-10-mg/,86,3,47.33720930232558,20,1,0
/bpc-157-peptido-recuperacion-deportiva/,78,0,57.217948717948715,,0,0
/product/nad-plus-500mg/,72,2,24.875,11.5,0,0
/comprar-peptidos-en-mexico/,64,0,81.484375,,1,0
/product/bpc-157/,58,0,50.51724137931034,,0,0
/product/retatrutida/,55,0,43.654545454545456,,1,0
/glp-1/,51,0,68.37254901960785,,0,0
/product/nad-suplemento/,47,0,48.276595744680854,,0,0
/precio-retatrutida/,46,0,17.97826086956522,,0,0
/product/omega-3-nutricost-2500mg/,41,13,12.390243902439025,13.615384615384615,0,0
/product/methylated-vitamin-b-complex-nutricost/,35,14,15.342857142857143,11.642857142857142,0,0
/product/bpc-157-tb-500-10-10mg/,27,4,39.74074074074074,5.5,0,0
/tirzepatida-en-mexico/,27,17,9.555555555555555,4.705882352941177,0,0
/product/bpc-157-precio/,26,0,64.88461538461539,,0,0
/igf-1-lr3-que-es-hormona-de-crecimiento-para-que-sirve/,25,0,64.24000000000001,,0,0
/longevidad/,25,14,39.2,12,0,1
/precio-de-retatrutida-en-mexico/,19,4,25.05263157894737,42.5,0,0
/product/mots-c-10mg/,18,2,28.666666666666668,12.5,1,0
/blog/,18,2,11.777777777777779,7.5,0,0
/product/bpc-157-tb-500/,18,0,53.666666666666664,,0,0
/product-category/reparacion-celular/,15,4,52.333333333333336,26.25,1,0
/product/dim-nutricost-300mg/,15,6,19.733333333333334,18.333333333333332,0,0
/suplementos-en-mexico-2/,15,3,14.333333333333334,9.666666666666666,0,0
/mots-c-que-es-para-que-sirve-beneficios-dosis-peptido-mitocondrial/,14,0,59.57142857142857,,0,0
/peptidos-inyectables/,14,0,56.714285714285715,,0,0
/ghk-cu-peptido-cobre-regeneracion-antienvejecimiento/,13,0,7.6923076923076925,,0,0
/selank-beneficios-y-dosis/,13,0,44.84615384615385,,0,0
/suplementos-deportivos/,12,0,42.583333333333336,,0,0
/nad-para-que-sirve/,11,0,74.36363636363636,,0,0
/politica-de-envios-y-devoluciones/,11,10,14.181818181818182,19.8,0,0
/semaglutida-en-mexico/,11,9,23.181818181818183,6.555555555555555,0,0
/retatrutide-triumph-1/,10,28,7.2,12,1,0
/biohacking-guia-definitiva-peptidos-suplementos-2025/,10,0,7.2,,0,0
/product/zinc-picolinato-nutricost-50mg/,10,14,25.2,10.428571428571429,0,0
/peptidos-glp-1-y-adicciones/,9,0,9.88888888888889,,0,0
/politica-de-privacidad/,9,7,10.444444444444445,18.714285714285715,0,0
/product-category/suplementos/bienestar-general/,9,0,60.666666666666664,,0,0
/reparacion-celular/,8,4,23.75,5.5,0,0
/semaglutida-2026-guia-completa-perdida-peso/,8,4,15.875,7.5,0,0
/capacidad-fisica-performance/,7,6,12.142857142857142,53.5,0,0
/envejecimiento-saludable/,7,0,34.285714285714285,,0,0
/product/complejo-b-metilado/,7,0,37.285714285714285,,0,0
/rendimiento-deportivo-con-peptidos/,7,0,25.285714285714285,,0,0
/marca/nutricost/,6,0,10.666666666666666,,1,0
/product-category/peptidos-para-rendimiento-cognitivo/,6,1,39.833333333333336,6,0,0
